Date,ALUA.BA Close,BBAR.BA Close,BMA.BA Close,BYMA.BA Close,CEPU.BA Close,COME.BA Close,CRES.BA Close,CVH.BA Close,EDN.BA Close,GGAL.BA Close,LOMA.BA Close,MIRG.BA Close,PAMP.BA Close,SUPV.BA Close,TECO2.BA Close,TGNO4.BA Close,TGSU2.BA Close,TRAN.BA Close,TXAR.BA Close,VALO.BA Close,YPFD.BA Close
2021-08-23,61.8,142.05,212.02,74.65,45.0,4.64,96.65,375.0,41.7,158.95,267.25,2252.5,112.9,73.95,189.05,65.8,171.95,33.45,13.85,23.85,822.8
2021-08-24,62.5,142.05,226.1,75.25,46.95,4.76,99.15,379.0,45.4,170.0,276.5,2278.5,120.2,77.4,189.05,69.4,179.0,36.05,13.85,24.85,861.55
2021-08-25,61.9,142.05,236.44,74.65,46.8,4.71,98.6,397.0,48.95,176.65,275.05,2292.0,120.7,79.5,186.2,69.1,178.75,36.35,13.85,25.1,871.25
2021-08-26,61.0,142.05,234.01,74.75,47.25,4.75,98.65,403.0,53.65,177.85,269.05,2277.0,118.9,77.5,186.5,69.9,184.4,38.55,13.85,25.1,861.2
2021-08-27,61.7,142.05,240.84,76.25,47.9,4.79,101.85,407.5,54.45,180.45,274.95,2353.5,124.15,79.45,189.05,71.1,183.95,39.45,13.85,25.7,895.75
2021-08-30,64.3,142.05,258.2,79.1,51.3,5.05,105.65,424.0,62.4,191.55,281.8,2442.5,131.0,87.95,194.8,75.1,193.25,43.85,13.85,26.2,907.65
2021-08-31,65.8,142.05,253.69,83.5,52.25,5.15,103.95,459.0,62.3,188.8,278.35,2687.0,129.8,86.55,192.05,73.9,192.0,43.4,13.85,25.9,917.5
2021-09-01,65.9,142.05,250.44,82.05,50.5,4.99,101.45,442.0,63.45,185.7,276.9,2768.5,123.45,84.15,188.7,71.8,187.15,41.85,13.85,25.7,885.85
2021-09-02,66.5,142.05,245.27,82.6,48.9,4.87,103.25,424.5,65.45,183.4,276.75,2769.5,123.05,84.0,190.05,69.9,186.5,41.35,13.85,25.65,891.35
2021-09-03,66.3,142.05,243.5,82.05,47.3,5.19,100.7,429.0,64.2,182.8,271.35,2757.5,119.7,86.0,186.35,70.3,181.45,40.9,13.85,25.65,872.45
2021-09-06,67.3,142.05,247.9,81.95,48.2,5.31,101.1,364.5,64.85,186.4,276.25,2780.0,122.95,87.4,192.85,74.4,182.25,42.75,13.85,25.7,872.2
2021-09-07,68.5,142.05,261.71,82.05,52.85,5.36,106.2,382.0,64.85,198.7,277.35,2796.0,130.85,94.45,192.25,78.5,190.95,43.05,13.85,25.5,938.65
2021-09-08,67.5,142.05,254.65,81.1,51.8,5.24,102.85,390.0,61.85,197.35,267.9,2765.5,124.6,92.45,188.1,78.3,185.3,43.2,13.85,24.65,917.7
2021-09-09,66.1,142.05,257.81,81.95,50.45,5.2,101.4,384.0,59.3,194.4,262.75,2774.0,122.95,89.8,190.2,74.3,183.9,41.6,13.85,24.4,941.15
2021-09-10,65.1,142.05,257.31,79.35,48.9,5.09,98.65,377.5,59.1,191.2,259.7,2748.0,120.45,90.95,187.7,73.5,182.75,40.55,13.85,24.05,927.6
2021-09-13,65.9,142.05,272.28,83.85,57.4,5.2,101.5,414.0,63.85,206.0,263.75,2874.0,132.55,94.45,193.05,78.5,197.6,44.9,13.85,25.0,971.05
2021-09-14,66.5,142.05,275.45,84.0,57.3,5.15,98.8,405.0,61.85,200.7,258.75,2931.5,129.25,91.75,193.05,77.7,189.05,45.45,13.85,24.25,947.0
2021-09-15,66.0,142.05,267.34,83.95,57.3,5.08,98.6,404.0,58.6,196.75,256.65,3098.0,128.45,88.1,190.0,79.3,191.2,46.5,13.85,24.1,952.3
2021-09-16,65.3,142.05,272.17,85.0,61.3,5.07,99.75,414.5,62.25,199.15,259.7,3241.0,132.7,89.55,194.15,85.5,194.65,50.3,13.85,24.25,961.05
2021-09-17,65.1,142.05,272.82,82.75,61.7,5.14,95.6,410.5,62.75,198.05,263.95,3264.5,129.2,87.25,187.9,88.8,192.1,52.1,13.85,24.1,932.15
2021-09-20,60.8,142.05,246.43,80.45,55.0,4.99,89.35,398.5,58.9,180.7,261.15,3199.0,120.6,80.1,183.55,81.6,178.95,47.0,13.85,23.25,881.2
